Testing Phase Results
test_class_id, round, loss_pos, acc_pos, loss_neg, acc_neg, acc_all
0, 0, 0.384, 0.840, 0.210, 0.909, 0.874
1, 0, 0.955, 0.470, 0.518, 0.741, 0.605
2, 0, 0.564, 0.810, 0.471, 0.772, 0.791
3, 0, 0.524, 0.810, 0.622, 0.637, 0.724
4, 0, 0.604, 0.700, 0.544, 0.688, 0.694
5, 0, 0.632, 0.720, 0.386, 0.819, 0.769
6, 0, 1.280, 0.380, 0.439, 0.786, 0.583
7, 0, 0.826, 0.570, 0.480, 0.765, 0.668
8, 0, 1.007, 0.520, 0.389, 0.823, 0.671
9, 0, 0.745, 0.640, 0.496, 0.745, 0.692
10, 0, 1.061, 0.400, 0.309, 0.869, 0.634
11, 0, 0.759, 0.640, 0.363, 0.838, 0.739
12, 0, 1.504, 0.220, 0.224, 0.923, 0.572
13, 0, 0.843, 0.660, 0.353, 0.845, 0.752
14, 0, 0.746, 0.610, 0.467, 0.762, 0.686
15, 0, 0.791, 0.680, 0.580, 0.686, 0.683
16, 0, 1.192, 0.460, 0.286, 0.880, 0.670
17, 0, 0.674, 0.780, 0.301, 0.853, 0.816
18, 0, 0.514, 0.790, 0.670, 0.584, 0.687
19, 0, 0.748, 0.620, 0.481, 0.737, 0.678
20, 0, 0.750, 0.620, 0.369, 0.829, 0.725
21, 0, 0.767, 0.680, 0.434, 0.753, 0.717
22, 0, 0.728, 0.710, 0.320, 0.860, 0.785
23, 0, 0.324, 0.890, 0.478, 0.782, 0.836
24, 0, 1.165, 0.320, 0.299, 0.884, 0.602
25, 0, 0.876, 0.580, 0.274, 0.882, 0.731
26, 0, 0.786, 0.600, 0.697, 0.642, 0.621
27, 0, 0.864, 0.610, 0.498, 0.715, 0.662
28, 0, 0.876, 0.560, 0.407, 0.820, 0.690
29, 0, 1.199, 0.370, 0.365, 0.833, 0.602
30, 0, 0.527, 0.720, 0.268, 0.889, 0.805
31, 0, 0.886, 0.600, 0.409, 0.790, 0.695
32, 0, 0.947, 0.460, 0.509, 0.730, 0.595
33, 0, 0.463, 0.820, 0.414, 0.793, 0.807
34, 0, 0.615, 0.710, 0.591, 0.652, 0.681
35, 0, 0.511, 0.760, 0.479, 0.763, 0.761
36, 0, 0.679, 0.700, 0.636, 0.615, 0.658
37, 0, 1.074, 0.500, 0.287, 0.863, 0.681
38, 0, 0.782, 0.560, 0.387, 0.795, 0.678
39, 0, 1.102, 0.400, 0.313, 0.882, 0.641
40, 0, 1.520, 0.360, 0.267, 0.885, 0.623
41, 0, 0.808, 0.580, 0.495, 0.726, 0.653
42, 0, 0.723, 0.670, 0.396, 0.785, 0.728
43, 0, 0.688, 0.650, 0.408, 0.805, 0.727
44, 0, 0.777, 0.560, 0.513, 0.709, 0.634
45, 0, 1.074, 0.480, 0.455, 0.772, 0.626
46, 0, 0.597, 0.760, 0.441, 0.791, 0.775
47, 0, 0.691, 0.770, 0.293, 0.872, 0.821
48, 0, 0.425, 0.830, 0.382, 0.827, 0.829
49, 0, 0.600, 0.810, 0.321, 0.835, 0.822
50, 0, 0.707, 0.670, 0.594, 0.623, 0.647
51, 0, 0.669, 0.740, 0.661, 0.613, 0.676
52, 0, 0.408, 0.900, 0.368, 0.819, 0.860
53, 0, 1.030, 0.570, 0.151, 0.941, 0.756
54, 0, 0.655, 0.760, 0.324, 0.861, 0.811
55, 0, 0.684, 0.670, 0.513, 0.709, 0.689
56, 0, 0.543, 0.740, 0.604, 0.646, 0.693
57, 0, 1.186, 0.480, 0.185, 0.921, 0.701
58, 0, 0.572, 0.730, 0.394, 0.808, 0.769
59, 0, 1.048, 0.500, 0.291, 0.863, 0.681
60, 0, 0.481, 0.860, 0.272, 0.879, 0.869
61, 0, 0.280, 0.920, 0.276, 0.892, 0.906
62, 0, 0.242, 0.920, 0.355, 0.850, 0.885
63, 0, 0.626, 0.740, 0.446, 0.745, 0.743
64, 0, 1.145, 0.430, 0.336, 0.844, 0.637
65, 0, 0.741, 0.620, 0.517, 0.701, 0.660
66, 0, 0.486, 0.820, 0.615, 0.660, 0.740
67, 0, 1.133, 0.570, 0.332, 0.846, 0.708
68, 0, 1.255, 0.510, 0.254, 0.876, 0.693
69, 0, 1.019, 0.710, 0.501, 0.772, 0.741
70, 0, 0.338, 0.910, 0.367, 0.837, 0.874
71, 0, 0.660, 0.630, 0.210, 0.917, 0.774
72, 0, 0.595, 0.730, 0.640, 0.596, 0.663
73, 0, 0.489, 0.780, 0.445, 0.801, 0.790
74, 0, 0.617, 0.760, 0.524, 0.692, 0.726
75, 0, 1.020, 0.450, 0.306, 0.859, 0.654
76, 0, 1.117, 0.460, 0.270, 0.888, 0.674
77, 0, 0.673, 0.690, 0.542, 0.669, 0.680
78, 0, 0.776, 0.670, 0.508, 0.709, 0.689
79, 0, 0.623, 0.740, 0.546, 0.702, 0.721
80, 0, 0.455, 0.850, 0.615, 0.626, 0.738
81, 0, 0.681, 0.680, 0.353, 0.847, 0.763
82, 0, 0.608, 0.750, 0.246, 0.897, 0.823
83, 0, 0.551, 0.770, 0.280, 0.872, 0.821
84, 0, 1.057, 0.420, 0.377, 0.838, 0.629
85, 0, 0.796, 0.650, 0.447, 0.779, 0.714
86, 0, 1.147, 0.370, 0.289, 0.884, 0.627
87, 0, 0.673, 0.700, 0.341, 0.845, 0.773
88, 0, 0.644, 0.760, 0.657, 0.620, 0.690
89, 0, 0.961, 0.420, 0.399, 0.820, 0.620
90, 0, 0.768, 0.620, 0.403, 0.816, 0.718
91, 0, 1.224, 0.250, 0.303, 0.915, 0.582
92, 0, 0.471, 0.820, 0.330, 0.853, 0.836
93, 0, 0.801, 0.650, 0.564, 0.729, 0.689
94, 0, 1.230, 0.360, 0.253, 0.887, 0.624
95, 0, 0.584, 0.750, 0.373, 0.827, 0.788
96, 0, 0.401, 0.850, 0.316, 0.847, 0.849
97, 0, 0.478, 0.850, 0.531, 0.695, 0.772
98, 0, 0.368, 0.910, 0.724, 0.556, 0.733
99, 0, 0.922, 0.610, 0.379, 0.816, 0.713

Summary:
Total test cases: 100
Average positive accuracy: 0.647
Average negative accuracy: 0.789
Average all samples accuracy: 0.718
