Epoch, Loss, Acc
0, 0.686,  54.101%
1, 0.668,  58.246%
2, 0.657,  59.927%
3, 0.648,  61.691%
4, 0.640,  63.162%
5, 0.633,  64.046%
6, 0.629,  64.521%
7, 0.618,  65.887%
8, 0.611,  66.786%
9, 0.607,  66.715%
10, 0.603,  67.079%
11, 0.598,  67.584%
12, 0.593,  68.560%
13, 0.587,  69.360%
14, 0.582,  69.107%
15, 0.576,  69.907%
16, 0.572,  70.451%
17, 0.569,  70.485%
18, 0.564,  71.404%
19, 0.560,  71.364%
20, 0.558,  71.503%
21, 0.549,  72.406%
22, 0.547,  72.893%
23, 0.544,  73.123%
24, 0.539,  73.410%
25, 0.534,  73.362%
26, 0.531,  73.893%
27, 0.528,  73.844%
28, 0.521,  74.646%
29, 0.521,  74.525%
30, 0.516,  74.913%
31, 0.515,  75.160%
32, 0.513,  75.234%
33, 0.504,  75.960%
34, 0.503,  75.687%
35, 0.499,  76.190%
36, 0.497,  76.036%
37, 0.491,  76.804%
38, 0.499,  75.840%
39, 0.487,  77.212%
40, 0.483,  77.000%
41, 0.486,  76.863%
42, 0.481,  77.343%
43, 0.482,  77.160%
44, 0.473,  77.913%
45, 0.475,  77.517%
46, 0.475,  77.840%
47, 0.472,  77.885%
48, 0.465,  78.509%
49, 0.467,  78.194%
50, 0.455,  79.040%
51, 0.466,  77.956%
52, 0.457,  78.978%
53, 0.451,  79.194%
54, 0.453,  79.048%
55, 0.447,  79.576%
56, 0.451,  79.283%
57, 0.445,  79.659%
58, 0.449,  79.053%
59, 0.450,  79.123%
60, 0.444,  79.646%
61, 0.452,  79.032%
62, 0.438,  79.828%
63, 0.442,  79.618%
64, 0.437,  79.848%
65, 0.433,  80.121%
66, 0.437,  80.099%
67, 0.432,  80.333%
68, 0.433,  79.968%
69, 0.431,  80.362%
70, 0.427,  80.560%
71, 0.429,  80.531%
72, 0.431,  80.236%
73, 0.431,  80.251%
74, 0.425,  80.762%
75, 0.425,  80.525%
76, 0.421,  80.988%
77, 0.425,  80.430%
78, 0.416,  81.095%
79, 0.419,  80.899%
80, 0.422,  80.725%
81, 0.416,  81.147%
82, 0.419,  80.909%
83, 0.416,  80.915%
84, 0.420,  80.715%
85, 0.406,  81.851%
86, 0.415,  81.137%
87, 0.405,  81.863%
88, 0.401,  82.107%
89, 0.402,  81.921%
90, 0.411,  81.202%
91, 0.407,  81.499%
92, 0.408,  81.218%
93, 0.402,  81.899%
94, 0.403,  81.667%
95, 0.401,  82.164%
96, 0.406,  81.685%
97, 0.409,  81.487%
98, 0.393,  82.293%
99, 0.401,  81.855%
100, 0.398,  82.164%
101, 0.393,  82.455%
102, 0.406,  81.515%
103, 0.393,  82.210%
104, 0.392,  82.489%
105, 0.393,  82.370%
106, 0.394,  82.477%
107, 0.397,  82.127%
108, 0.398,  81.980%
109, 0.395,  82.180%
110, 0.396,  82.166%
111, 0.396,  82.321%
